,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,pop
1,0.227166497,0.217242881,0.158827747,0.173733939,0.138166526,0.145532442,0.167373051,0.146355618,0.116770343,0.12506128,0.132737348,0.150051884,0.11501214,0.139307149,0.118117821,0.112640971,0.124167998,0.11560071,0.114366114,0.121328031,0.11221209,0.115519808,0.107987166,0.105645273,0.116450051,0.113404393,OI
2,0.194728782,0.20771115,0.164086335,0.174939098,0.143110118,0.142611345,0.149084123,0.123587592,0.139108322,0.135240148,0.13598692,0.13708673,0.132385525,0.122255843,0.114014456,0.134743696,0.111561797,0.110860554,0.120262399,0.128706748,0.112901734,0.120459105,0.108583353,0.119326646,0.112830529,0.113401352,OI
3,0.206798033,0.201172525,0.149823486,0.175447837,0.142336593,0.139330489,0.147102436,0.113249787,0.130560934,0.122458005,0.151592948,0.130425443,0.128250925,0.127277722,0.121429803,0.114595655,0.114757746,0.118556741,0.129740897,0.121719798,0.123267355,0.125539214,0.11048115,0.109964518,0.110343418,0.112364142,OI
4,0.118925757,0.19553205,0.186133938,0.191199704,0.15590283,0.155278265,0.145306027,0.124412728,0.131422564,0.121450655,0.14903179,0.137283547,0.126077779,0.133841416,0.125245206,0.107051284,0.117592912,0.118701763,0.121615292,0.119257219,0.118895457,0.126293441,0.117967291,0.11152503,0.122862043,0.109751182,OI
5,0.216608844,0.180586665,0.18009922,0.160275498,0.141342944,0.13677062,0.144377176,0.138406897,0.124582288,0.124041764,0.133707957,0.127072612,0.115575182,0.13053602,0.128545431,0.117553288,0.126929538,0.128788748,0.122734663,0.107137034,0.125819432,0.107756495,0.111366953,0.11512923,0.107896907,0.112889912,OI
6,0.204710664,0.192855176,0.16823885,0.172361828,0.132646428,0.15007009,0.150463404,0.133641759,0.117932043,0.122443664,0.129361048,0.139446026,0.120869299,0.130801569,0.124094179,0.105800826,0.125866804,0.108880128,0.113826441,0.118873869,0.113006934,0.115094534,0.121096874,0.113760764,0.125297187,0.111495517,OI
7,0.185686687,0.196424497,0.172106185,0.178710766,0.139056152,0.141779515,0.148584292,0.142479214,0.115875262,0.132152739,0.129047727,0.131857254,0.117939846,0.133325405,0.132045062,0.119827209,0.132623106,0.125299376,0.118325492,0.113680187,0.117351596,0.109355119,0.112701376,0.123808082,0.112714651,0.116947216,AP
8,0.18629702,0.168624352,0.163583988,0.159024829,0.132962296,0.138866993,0.137852725,0.153895097,0.124351139,0.127169906,0.13990137,0.13689491,0.122455464,0.131983783,0.125890817,0.11448349,0.12020438,0.125861881,0.124564184,0.117392794,0.119247382,0.119582448,0.111494064,0.111966842,0.114032328,0.111587285,AP
9,0.125100315,0.190602859,0.174447658,0.172788369,0.143928158,0.150236534,0.151431639,0.13624973,0.121820602,0.12055654,0.138264769,0.13497354,0.126268674,0.133939568,0.12769667,0.11507048,0.123028805,0.11737494,0.122824056,0.118054847,0.116233606,0.123542193,0.113936718,0.114888494,0.11904222,0.109786138,AP
10,0.209885867,0.183926047,0.172169279,0.133589321,0.145455441,0.138976822,0.112277248,0.144699421,0.135703686,0.135590678,0.13996715,0.127288391,0.135385229,0.120739974,0.127288652,0.127516741,0.114356523,0.126216697,0.11916949,0.125003547,0.114678891,0.130295243,0.105292794,0.120602722,0.11167913,0.116032671,AP
11,0.198946596,0.175042377,0.177138395,0.163199099,0.132391477,0.142606414,0.135465306,0.142523394,0.130747416,0.132301583,0.135383491,0.130665654,0.121263485,0.127564491,0.128324422,0.120570388,0.120590584,0.124806227,0.12467502,0.11544188,0.118304535,0.117258508,0.112051087,0.115080446,0.113649074,0.113166376,AP
12,0.151178501,0.178470863,0.157886481,0.160541354,0.129266859,0.137514222,0.132322895,0.150620429,0.126728914,0.128900336,0.136131853,0.1362617,0.123115722,0.127900189,0.130831717,0.118992441,0.120343078,0.123112821,0.120685847,0.116741942,0.117418203,0.121303069,0.112886445,0.115855911,0.115519052,0.111327407,AP
13,0.158486962,0.191222825,0.186759064,0.172960118,0.155297741,0.1534687,0.144059957,0.130621853,0.133141008,0.12169518,0.136528004,0.133217168,0.123398679,0.125758284,0.123412887,0.11527031,0.117376172,0.121462274,0.123876904,0.115270179,0.120261093,0.118985148,0.111922995,0.112759943,0.113245903,0.11014198,AP
14,0.196131823,0.179671477,0.167661606,0.160532946,0.13451465,0.144024949,0.145158479,0.128597821,0.12653159,0.124783281,0.140635967,0.129192359,0.126382647,0.124658124,0.124700457,0.114677208,0.119032802,0.121393382,0.123955223,0.117593694,0.122510431,0.119970868,0.112490423,0.112811048,0.1146655,0.110100462,AP
15,0.15729178,0.155990614,0.180551169,0.160336235,0.129053362,0.144428739,0.158513266,0.145235362,0.120575569,0.131600308,0.137334191,0.132554574,0.122512907,0.134319695,0.127686187,0.119542938,0.123195988,0.123106594,0.121505541,0.115178111,0.114472794,0.118030775,0.112350585,0.114725385,0.11629739,0.114683067,AP
16,0.158091462,0.172857978,0.170512159,0.1622624,0.123605343,0.139470871,0.138527608,0.151452503,0.117503091,0.129056494,0.139147224,0.131315795,0.120976831,0.131839058,0.131305101,0.113768462,0.120678708,0.123687998,0.12367966,0.116203633,0.117909197,0.118930238,0.114224747,0.114363151,0.115437306,0.109388887,AP
17,0.179198409,0.168577178,0.160423244,0.162364604,0.134979841,0.138456872,0.139954409,0.147973789,0.126517046,0.128311816,0.13789032,0.136674098,0.120682905,0.130510885,0.127545442,0.116829062,0.120905722,0.12359037,0.123590956,0.117767582,0.118528813,0.119063312,0.112660902,0.113943968,0.114408147,0.111850429,AP
18,0.137993713,0.186390306,0.169952259,0.167011783,0.137166125,0.143536098,0.134286402,0.128003495,0.132699049,0.128092269,0.139909515,0.128306055,0.124613181,0.124137645,0.124442443,0.116789208,0.119474585,0.123813711,0.125737211,0.116733081,0.119400404,0.115794033,0.112358695,0.114496884,0.113512411,0.112988147,AP
19,0.18039548,0.194230243,0.182199391,0.175306632,0.148950418,0.143997875,0.134901421,0.13581572,0.141216753,0.12766086,0.138404358,0.133745699,0.121507247,0.122376374,0.121445187,0.122564482,0.117275971,0.124773045,0.124995878,0.11731861,0.119093262,0.116938703,0.109536787,0.114255434,0.110644727,0.114832786,AP
20,0.169589438,0.186867883,0.172199844,0.171768581,0.147051157,0.14441113,0.138153348,0.127901715,0.133405997,0.125190228,0.137890765,0.128945189,0.125481793,0.123350611,0.122522009,0.116215277,0.117432042,0.119956638,0.124665056,0.117281855,0.11987117,0.116698009,0.113128369,0.113142891,0.113185601,0.111527882,AP
21,0.207677912,0.184678885,0.172226506,0.181088046,0.144068683,0.146062116,0.131921267,0.134623651,0.1367521,0.129029341,0.13718454,0.130640218,0.121340237,0.12383955,0.124243032,0.119180687,0.117153368,0.128295492,0.125437419,0.114623757,0.119310638,0.116587546,0.110599377,0.114588424,0.113178112,0.113032473,AP
22,0.147914514,0.176431904,0.184310462,0.167209409,0.135240412,0.143463325,0.138021168,0.137701954,0.132820082,0.130255208,0.138551542,0.129823089,0.121491909,0.125978606,0.126546957,0.120582349,0.120361236,0.124998186,0.125521605,0.11517978,0.118242968,0.116646621,0.11200378,0.114568116,0.113285045,0.11312761,AP
23,0.18854352,0.171663477,0.174416671,0.166433103,0.134072561,0.142628939,0.134620636,0.144236763,0.130595801,0.130972422,0.131969133,0.13529781,0.119037544,0.128067639,0.128435935,0.120767736,0.122096472,0.126764841,0.121662352,0.114491305,0.116928384,0.11767043,0.111924517,0.116399979,0.113879519,0.112662314,AP
24,0.163875661,0.175540974,0.176639906,0.175720281,0.142349701,0.144833338,0.13539353,0.132611364,0.135255319,0.128290052,0.139026561,0.13049527,0.121558307,0.124643981,0.125287845,0.117647455,0.117552727,0.124938276,0.125445843,0.117066875,0.119736132,0.117765752,0.111896763,0.112232542,0.111996979,0.112635354,AP
25,0.15807673,0.112356449,0.162943887,0.160160086,0.139039784,0.145020236,0.151500235,0.14140282,0.132311035,0.128271316,0.13807102,0.128376458,0.123786434,0.128898939,0.12414123,0.119265786,0.120468578,0.121510181,0.123490448,0.115295308,0.119758435,0.118369985,0.111025075,0.114924885,0.114670185,0.111167697,AP
